City_ID,City,Country,Max Temp,Current Description,Latitude,Longitude,Hotel Name
246,Sierpc,PL,53.94,broken clouds,52.86,19.67,"Bar ""MaxiM"" - Restauracja, Catering, Sale Bankietowe, Hotel"
249,Hlatikulu,SZ,50.58,overcast clouds,-26.97,31.32,Assegai Inn
251,Surgut,RU,42.98,clear sky,61.25,73.42,Business Hotel
255,Valparaíso,CL,55.47,clear sky,-33.04,-71.63,Hotel Ultramar
258,Yarkovo,RU,55.22,overcast clouds,57.4,67.08,"Kfkh ""Ivanov S. M."""
261,Youghal,IE,53.1,overcast clouds,51.95,-7.85,Walter Raleigh Hotel
267,Grindavik,IS,44.55,broken clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
268,Turochak,RU,46.51,overcast clouds,52.26,87.12,"Usad'ba ""Lebed'"""
269,Bonavista,CA,42.37,overcast clouds,48.65,-53.11,Sweet Sharons bnb
271,Sept-Îles,CA,49.05,few clouds,50.2,-66.38,Comfort Inn
273,Abhā,SA,59.25,clear sky,18.22,42.51,Abha Hotel
278,Santa Isabel,BR,59.76,clear sky,-23.32,-46.22,Chácara Sombra do Altíssimo
280,Saldanha,ZA,51.85,clear sky,-33.01,17.94,Blue Bay Lodge
281,Leshukonskoye,RU,55.17,scattered clouds,64.9,45.76,Pryalitsa Hostel
286,Dalvik,IS,42.73,scattered clouds,65.97,-18.53,Dalvík Hostel
289,Antofagasta,CL,58.28,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
292,Tromsø,NO,41.02,broken clouds,69.65,18.96,"Radisson Blu Hotel, Tromsø"
297,Varhaug,NO,49.89,broken clouds,58.61,5.65,Jonas Bue
298,Paamiut,GL,40.35,clear sky,61.99,-49.67,Pistut
300,Kargasok,RU,45.23,few clouds,59.06,80.86,Hotel Kargasok
301,Olafsvik,IS,42.03,broken clouds,64.89,-23.71,Hotel Olafsvik
302,Leh,IN,49.8,few clouds,34.17,77.58,Hotel Ladakh Greens
303,Peterhead,GB,48.6,broken clouds,57.51,-1.8,Palace Hotel
307,Goderich,CA,57.52,light rain,43.75,-81.72,Harmony Inn
311,Karlstad,SE,54.16,overcast clouds,59.38,13.5,Scandic Karlstad City
313,Chulym,RU,45.01,clear sky,55.1,80.96,"""U Tat'yany"""
314,South Shields,GB,53.33,overcast clouds,55.0,-1.43,Premier Inn North Shields (Ferry Terminal) hotel
317,Portree,GB,46.53,broken clouds,57.41,-6.19,The Royal Hotel
319,Diego de Almagro,CL,52.92,scattered clouds,-26.37,-70.05,hotel luna del desierto
320,Belomorsk,RU,45.81,scattered clouds,64.52,34.77,Khostel Belomorsk
323,Troitsko-Pechorsk,RU,50.34,few clouds,62.71,56.2,Pechora Gostinitsa
325,Lubango,AO,48.65,scattered clouds,-14.92,13.49,Hotel Serra da Chela
326,Bar Harbor,US,55.9,overcast clouds,44.39,-68.2,Atlantic Oceanside Hotel & Event Center
327,Danielskuil,ZA,47.1,clear sky,-28.19,23.54,Botha'Sig Gastehuis
330,Tres Arroyos,AR,46.47,clear sky,-38.37,-60.28,Habitacion Triple con baño y entrada privada
333,Mateus Leme,BR,55.08,clear sky,-19.99,-44.43,Recanto Das Lagoas
348,Severodvinsk,RU,53.71,overcast clouds,64.56,39.83,Park Hotel
